"output_sheet","source_sheet","original_rows","demo_rows"
"PBMC Collated 2 filtered","PBMC Collated 2 filtered",9020,5000
"LD-SC40 Revision","LD-SC40 Revision",1482,1482
"Fetal_w13_FCAImm","Fetal_w13_FCAImm",947,947
"Fetal_w14_FCAImm","Fetal_w14_FCAImm",1487,1487
"Fetal_thy_w17","Fetal_thy_w17",1392,1392
"Postnatal_thy_10m","Postnatal_thy_10m",501,501
"Postnatal_30m_T06","Postnatal_30m_T06",1062,1062
"Adult_thy","Adult_thy",99,99
"DMSO-T","DMSO-T",8316,5000
"Inhibitor-T","Inhibitor-T",7772,5000
