sample,source,stim,replicate,group
A1-DMSO-un-1-LJC17506_L1,DMSO,Unstim,1,DMSO_un
A2-DMSO-un-2-LJC17507_L1,DMSO,Unstim,2,DMSO_un
A3-DMSO-un-3-LJC17508_L1,DMSO,Unstim,3,DMSO_un
A4-DMSO-un-4-LJC17509_L1,DMSO,Unstim,4,DMSO_un
A5-DMSO-CD19-1-LJC17518_L1,DMSO,Stim,1,DMSO_CD19
A6-DMSO-CD19-2-LJC17519_L1,DMSO,Stim,2,DMSO_CD19
A7-DMSO-CD19-3-LJC17520_L1,DMSO,Stim,3,DMSO_CD19
A8-DMSO-CD19-4-LJC17521_L1,DMSO,Stim,4,DMSO_CD19
B1-GSK-un-1-LJC17510_L1,GSK,Unstim,1,GSK_un
B2-GSK-un-2-LJC17511_L1,GSK,Unstim,2,GSK_un
B3-GSK-un-3-LJC17512_L1,GSK,Unstim,3,GSK_un
B4-GSK-un-4-LJC17513_L1,GSK,Unstim,4,GSK_un
B5-GSK-CD19-1-LJC17522_L1,GSK,Stim,1,GSK_CD19
B6-GSK-CD19-2-LJC17523_L1,GSK,Stim,2,GSK_CD19
B7-GSK-CD19-3-LJC17524_L1,GSK,Stim,3,GSK_CD19
B8-GSK-CD19-4-LJC17525_L1,GSK,Stim,4,GSK_CD19
C1-PBMC-un-1-LJC17514_L1,PBMC,Unstim,1,PBMC_un
C2-PBMC-un-2-LJC17515_L1,PBMC,Unstim,2,PBMC_un
C3-PBMC-un-3-LJC17516_L1,PBMC,Unstim,3,PBMC_un
C4-PBMC-un-4-LJC17517_L1,PBMC,Unstim,4,PBMC_un
C5-PBMC-CD19-1-LJC17526_L1,PBMC,Stim,1,PBMC_CD19
C6-PBMC-CD19-2-LJC17527_L0,PBMC,Stim,2,PBMC_CD19
C7-PBMC-CD19-3-LJC17528_L1,PBMC,Stim,3,PBMC_CD19
C8-PBMC-CD19-4-LJC17529-RL1_L0,PBMC,Stim,4,PBMC_CD19
